Unique URL,Model and Year,Miles Driven,Price
/cars-for-sale/vehicledetails.xhtml?listingId=577147500&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Certified 2018 Lexus ES 350,10366 ,31376
/cars-for-sale/vehicledetails.xhtml?listingId=577132220&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Certified 2018 Lexus ES 350,12875 ,31528
/cars-for-sale/vehicledetails.xhtml?listingId=569338668&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2020 Lexus ES 350 F Sport w/ Accessory Package 2,1340 ,38998
/cars-for-sale/vehicledetails.xhtml?listingId=573749182&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2017 Lexus ES 350,10238 ,24288
/cars-for-sale/vehicledetails.xhtml?listingId=577035460&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2018 Lexus ES 350,27500 ,24882
/cars-for-sale/vehicledetails.xhtml?listingId=574733218&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2014 Lexus ES 350,48335 ,15995
/cars-for-sale/vehicledetails.xhtml?listingId=573994570&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26modelCodeList%3DES350%26relevanceConfig%3Ddefault%26makeCodeList%3DLEXUS%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&firstRecord=0&modelCodeList=ES350&makeCodeList=LEXUS&searchRadius=50&makeCode1=LEXUS&modelCode1=ES350&clickType=listing,Used 2016 Lexus ES 350,60140 ,17699
https://www.germainbmw.com/?utm_source=autotrader.com&utm_medium=referral&utm_campaign=autotrader_alpha,New 2021 BMW M550i xDrive,No Mileage Data,93640
/cars-for-sale/vehicledetails.xhtml?listingId=571438549&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3D5_SERIES%26modelCodeList%3D5_SERIES%26makeCodeList%3DBMW%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dtrue&numRecords=25&seriesCodeList=5_SERIES&firstRecord=0&modelCodeList=5_SERIES&makeCodeList=BMW&searchRadius=50&clickType=alpha,New 2021 BMW M550i xDrive,No Mileage Data,93640
/cars-for-sale/vehicledetails.xhtml?listingId=577746258&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3D5_SERIES%26modelCodeList%3D5_SERIES%26makeCodeList%3DBMW%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=5_SERIES&firstRecord=0&modelCodeList=5_SERIES&makeCodeList=BMW&searchRadius=50&clickType=spotlight,Used 2018 BMW 530i xDrive,18185 ,33900
